Nr;longitude;latitude;Exp;Hoehe;rutschneigung;Neigung oberhalb;Neigung unterhalb;Laenge;Breite;mmacht;Anrisshoehe;anrissflaeche;Volumen
4001;780900;206725;180;2260;33;33;25;72;31;1.399999976;0.5;1610.00;1127
4002;780335;204605;80;1420;34;35;29;12;22;0.899999976;0.600000024;200.00;100
4003;781600;205775;170;1700;30;30;32;60;17;1.899999976;1.299999952;720.00;936
4004;781650;205830;160;1740;30;31;28;44;24;1.100000024;0.800000012;800.00;560
4005;781590;205850;190;1780;44;32;30;6.5;12;1.200000048;1.399999976;72.00;58
4006;780250;205900;180;1980;28;30;17;11;15;1.200000048;0.800000012;117.00;82
4007;780175;205925;110;2015;32;39;27;17.5;9;1.700000048;1.200000048;112.00;112
4008;780325;204595;130;1425;34;33;30;18;17;0.899999976;1.100000024;225.00;135
4009;780270;204735;160;1445;28;;;13;11;1.399999976;0.899999976;120.00;120
4010;780280;204730;170;1440;25;;23;18;12.5;1.700000048;1.100000024;160.00;192
4011;781865;205700;170;1590;37;36;26;13.5;10.5;1.399999976;1.200000048;108.00;97
4012;780320;205110;190;1565;37;35;19;11.5;10.5;1.600000024;1;90.00;108
4013;780130;205180;140;1630;28;48;24;116;37;1.5;0.400000006;2600.00;2260
4014;779265;205366;230;1655;28;17;22;42;30;1.200000048;0.899999976;808.00;566
4015;779470;205555;210;1745;26;33;28;23.5;14.5;1.799999952;1.399999976;286.00;343
4016;779500;205605;200;1782;31;31;30;20;10;1;0.699999988;162.00;97
4017;780215;205080;160;1550;24;31;23;24;13;0.899999976;0.5;220.00;132
4018;781160;205430;130;1610;42;34;37;11.5;9.5;1.200000048;1;90.00;63
4019;779430;205600;200;1765;33;28;29;22;12.5;1.299999952;1;230.00;160
4020;779450;205630;250;1795;37;28;27;8;6;1.5;1.399999976;35.00;39
4021;779185;205470;230;1655;23;18;23;10;10.5;0.600000024;0.5;64.00;32
4022;779250;205585;200;1710;32;23;19;25;44;1.799999952;0.699999988;958.00;912
4023;779255;205645;220;1730;25;37;23;32;28;1.299999952;0.699999988;700.00;630
4024;779280;205700;220;1780;34;38;33;23;12.5;0.800000012;0.400000006;252.00;151
4025;779250;205710;210;1780;32;37;36;30;15.5;1.100000024;0.5;340.00;170
4026;779600;205630;210;1810;25;27;34;34;14;0.899999976;0.600000024;384.00;192
4027;779645;205670;180;1840;32;36;33;20;9.5;1.100000024;0.800000012;144.00;86
4028;779790;205430;170;1750;29;33;21;23;18;1;1;320.00;160
4029;779730;205600;200;1830;35;29;26;35;16;1.5;0.899999976;384.00;307
